chatbot_answers,human_answers,session_len,bin,chatbot_context,human_context
Answer A,Answer A,3,"(0, 4]",True,True
Answer A,Answer A,7,"(4, 8]",True,True
Answer A,Answer A,9,"(8, 11]",False,False
Answer A,Answer A,3,"(0, 4]",True,True
Answer A,Answer B,1,"(0, 4]",False,True
Answer A,Answer B,1,"(0, 4]",False,True
Answer A,Answer B,5,"(4, 8]",False,True
Answer A,Answer B,9,"(8, 11]",False,True
Answer A,Answer A,1,"(0, 4]",True,True
Answer A,Answer B,3,"(0, 4]",True,False
Answer A,Answer A,11,"(8, 11]",True,True
Answer A,Answer B,1,"(0, 4]",False,True
Answer B,Answer B,3,"(0, 4]",False,False
Answer A,Answer A,7,"(4, 8]",True,True
Answer B,Answer B,7,"(4, 8]",True,True
Answer A,Answer A,1,"(0, 4]",True,True
Answer A,Answer A,5,"(4, 8]",False,False
Answer A,Answer A,7,"(4, 8]",True,True
Answer A,Answer A,9,"(8, 11]",True,True
Answer B,Answer B,9,"(8, 11]",True,True
Answer A,Answer A,1,"(0, 4]",True,True
Answer A,Answer B,1,"(0, 4]",True,False
Answer A,Answer B,11,"(8, 11]",True,False
Answer A,Answer A,7,"(4, 8]",True,True
Answer A,Answer A,11,"(8, 11]",False,False
Answer A,Answer A,7,"(4, 8]",False,False
Answer A,Answer B,7,"(4, 8]",False,True
Answer A,Answer A,5,"(4, 8]",True,True
Answer A,Answer B,5,"(4, 8]",False,True
Answer B,Answer B,5,"(4, 8]",True,True
Answer A,Answer A,9,"(8, 11]",False,False
Answer A,Answer A,3,"(0, 4]",True,True
Answer A,Answer B,11,"(8, 11]",True,False
Answer A,Answer A,3,"(0, 4]",True,True
Answer A,Answer B,5,"(4, 8]",True,False
Answer A,Answer A,9,"(8, 11]",True,True
Answer A,Answer A,7,"(4, 8]",False,False
Answer A,Answer B,9,"(8, 11]",True,False
Answer A,Answer B,3,"(0, 4]",False,True
Answer A,Answer B,3,"(0, 4]",False,True
Answer A,Answer B,1,"(0, 4]",True,False
Answer A,Answer A,3,"(0, 4]",True,True
Answer A,Answer A,9,"(8, 11]",False,False
Answer A,Answer B,7,"(4, 8]",False,True
Answer A,Answer B,11,"(8, 11]",False,True
Answer A,Answer B,3,"(0, 4]",False,True
Answer A,Answer A,9,"(8, 11]",False,False
Answer A,Answer B,11,"(8, 11]",False,True
Answer A,Answer B,1,"(0, 4]",False,True
Answer A,Answer A,1,"(0, 4]",True,True
Answer B,Answer A,3,"(0, 4]",False,True
Answer A,Answer A,5,"(4, 8]",False,False
Answer B,Answer A,9,"(8, 11]",False,True
Answer A,Answer A,1,"(0, 4]",True,True
Answer A,Answer A,3,"(0, 4]",True,True
Answer A,Answer B,11,"(8, 11]",True,False
Answer A,Answer A,7,"(4, 8]",True,True
Answer A,Answer B,3,"(0, 4]",True,False
Answer A,Answer A,9,"(8, 11]",True,True
Answer A,Answer B,11,"(8, 11]",True,False
Answer B,Answer A,3,"(0, 4]",True,False
Answer B,Answer A,5,"(4, 8]",True,False
Answer A,Answer A,3,"(0, 4]",True,True
Answer A,Answer A,7,"(4, 8]",True,True
Answer A,Answer A,7,"(4, 8]",False,False
Answer A,Answer B,11,"(8, 11]",False,True
Answer A,Answer A,7,"(4, 8]",True,True
Answer A,Answer B,1,"(0, 4]",True,False
Answer A,Answer A,11,"(8, 11]",True,True
Answer A,Answer A,1,"(0, 4]",False,False
Answer A,Answer B,5,"(4, 8]",False,True
Answer A,Answer A,1,"(0, 4]",False,False
Answer A,Answer B,11,"(8, 11]",True,False
Answer A,Answer A,3,"(0, 4]",True,True
Answer A,Answer A,5,"(4, 8]",False,False
Answer A,Answer B,5,"(4, 8]",False,True
Answer A,Answer A,11,"(8, 11]",False,False
Answer A,Answer B,7,"(4, 8]",False,True
Answer A,Answer B,7,"(4, 8]",True,False
Answer B,Answer B,7,"(4, 8]",False,False
Answer A,Answer A,7,"(4, 8]",True,True
Answer A,Answer B,1,"(0, 4]",False,True
Answer A,Answer B,3,"(0, 4]",True,False
Answer A,Answer A,3,"(0, 4]",False,False
Answer B,Answer B,9,"(8, 11]",False,False
Answer A,Answer A,7,"(4, 8]",True,True
Answer A,Answer B,1,"(0, 4]",False,True
Answer A,Answer B,5,"(4, 8]",False,True
Answer A,Answer A,11,"(8, 11]",True,True
Answer A,Answer B,9,"(8, 11]",True,False
Answer A,Answer B,5,"(4, 8]",True,False
Answer A,Answer A,7,"(4, 8]",True,True
Answer A,Answer B,7,"(4, 8]",True,False
Answer A,Answer B,1,"(0, 4]",True,False
Answer A,Answer A,3,"(0, 4]",False,False
Answer A,Answer B,3,"(0, 4]",True,False
Answer A,Answer A,5,"(4, 8]",True,True
Answer A,Answer B,1,"(0, 4]",True,False
Answer A,Answer B,5,"(4, 8]",False,True
Answer A,Answer B,7,"(4, 8]",False,True
Answer A,Answer B,1,"(0, 4]",False,True
Answer A,Answer A,5,"(4, 8]",False,False
Answer A,Answer B,7,"(4, 8]",False,True
Answer A,Answer B,3,"(0, 4]",False,True
Answer A,Answer B,11,"(8, 11]",True,False
Answer A,Answer A,9,"(8, 11]",False,False
Answer B,Answer A,7,"(4, 8]",True,False
Answer A,Answer B,9,"(8, 11]",False,True
Answer B,Answer A,1,"(0, 4]",True,False
Answer A,Answer A,5,"(4, 8]",False,False
Answer A,Answer B,9,"(8, 11]",False,True
Answer A,Answer B,11,"(8, 11]",False,True
Answer A,Answer B,11,"(8, 11]",False,True
Answer A,Answer B,7,"(4, 8]",False,True
Answer B,Answer A,3,"(0, 4]",False,True
Answer B,Answer A,11,"(8, 11]",False,True
Answer A,Answer B,3,"(0, 4]",True,False
